link_id,source,target,direction,wkt,wkt_source,wkt_target
TRONROUT0000000067753679,0,1,0,"LINESTRING(996672.0001476444 6543015.199822203,996662.9002452027 6543011.5005655745,996654.2996751491 6543009.199753708,996647.4996431833 6543005.90009644,996643.0001691086 6543005.400448677,996642.2002230858 6543004.600037708,996643.7003614536 6543002.500362124,996649.5997781507 6542998.99983727,996656.4996231972 6542998.899977947,996660.5997956737 6542996.499556093,996670.6000471008 6542991.800530283,996676.7996889357 6542990.300294805,996689.0997904001 6542992.70065059,996693.5998702066 6542993.699564245,996696.900227793 6542995.100538067,996698.8001650142 6542994.500100396,996696.1999099653 6542991.800046499,996694.9001423083 6542989.099743627,996694.3002103153 6542987.599698841,996688.9999300549 6542982.400438958,996688.5998584719 6542980.29971154,996690.3003661497 6542979.699597644,996692.1001161451 6542980.699749199,996694.0999539726 6542984.10000569,996695.0000883589 6542983.299832222,996695.6002053947 6542980.000200123,996692.8996682938 6542976.600398964,996689.6996367387 6542973.499891957,996689.7000977783 6542971.699893227,996692.5000912616 6542971.5000306135,996702.7002712095 6542975.200480567,996712.7001841086 6542981.699660653,996726.000299286 6542992.0002396945,996729.5998403 6542997.100295776,996731.4997366584 6543001.599742369,996732.3002134103 6543002.900506179,996734.6002753475 6542999.700076977,996735.1002796085 6542993.300306422,996736.9000163263 6542991.199630542,996738.4000230315 6542991.900621628,996739.3002821566 6542996.500525978,996740.3002670078 6543004.400679287,996741.699802334 6543006.4998992905,996743.4998768619 6543004.999619716,996746.0002148924 6542999.0004827175,996745.6002070028 6542995.7001096485,996745.9002264033 6542993.499947113,996747.8003173919 6542992.800580668,996750.2996886305 6542996.299599307,996752.1997950333 6542999.100216025,996751.7003451941 6543005.600075945,996754.5998923245 6543016.199648725,996758.9998166872 6543023.800130814,996768.5000540714 6543037.599762093,996774.3998535438 6543045.199697292,996782.4997937453 6543052.200461561,996784.3001789419 6543055.599961632,996786.5002472943 6543056.600678739,996786.2998305187 6543054.000427402,996782.8996411159 6543045.099835801,996781.3002689718 6543037.799855792,996781.500091735 6543030.200321337,996780.6001428247 6543024.699856893,996782.0000980091 6543021.500214854,996785.2002105052 6543012.499823325,996789.3003118159 6542997.700562144,996792.2997357575 6542987.799868244,996792.0003646002 6542985.000245156,996791.4002881609 6542983.199993652,996793.1996691816 6542983.20063943,996797.7003932344 6542986.199810011,996799.4997095544 6542990.900081401,996801.2003032315 6543002.299782884,996801.1002424903 6543011.5996743,996802.5000168155 6543015.099803324,996803.899804228 6543015.099950894,996805.699911102 6543012.800298086,996807.3997205314 6543007.500555471,996810.100326591 6542998.800569498,996811.9997961099 6542989.9004706675,996810.7999304362 6542981.500286836,996808.8000065428 6542977.000403407,996807.4999505482 6542973.699682202,996809.5003524697 6542973.299835037,996813.899730236 6542976.90003379,996816.4003445758 6542981.299708617,996822.1000693233 6542989.600422262,996824.5000568483 6542996.199937107,996826.099804441 6543009.100143813,996826.7996949446 6543021.100559295,996829.6002386849 6543027.999704604)", POINT(996672.0001476444 6543015.199822203), POINT(996829.6002386849 6543027.999704604)
TRONROUT0000000067753685,2,3,0,"LINESTRING(996631.0001957308 6543026.300497017,996625.7999048486 6543019.999894142,996622.5999230782 6543013.300496552,996616.6999434077 6543017.900598596,996610.2001196363 6543024.500651562,996606.7001714266 6543029.499622807,996603.2998307187 6543028.000454121,996594.3000448535 6543033.399649365,996586.5999376401 6543037.60001445,996583.0003517596 6543039.199808972,996577.0000603516 6543038.000328497,996573.4996962638 6543036.499658845,996572.9000847816 6543034.8006288,996574.0999651159 6543032.699711327,996580.6998951281 6543031.199902438,996581.6996968288 6543029.400585202,996579.299979852 6543028.100074614,996573.6996900609 6543027.100118941)", POINT(996631.0001957308 6543026.300497017), POINT(996573.6996900609 6543027.100118941)
TRONROUT0000000067753688,4,2,0,"LINESTRING(996528.1998577414 6543026.200190661,996534.4002365118 6543033.800007666,996541.2002334052 6543038.300290181,996550.10015809 6543040.699963856,996555.7000208427 6543042.3002546765,996560.6999569214 6543042.799660165,996561.8996597689 6543045.100385161,996568.1001092375 6543047.100058747,996571.3998772941 6543049.600515922,996575.1000837976 6543050.500497466,996579.9997161857 6543051.49981399,996585.6998684839 6543053.399628658,996591.2000257603 6543054.00004557,996595.8998161978 6543054.400419305,996602.1003942543 6543051.99959174,996607.7996240607 6543051.199908483,996614.4996861822 6543047.700402311,996622.6998013915 6543040.200024132,996626.1998317881 6543034.000310958,996631.0001957308 6543026.300497017)", POINT(996528.1998577414 6543026.200190661), POINT(996631.0001957308 6543026.300497017)
TRONROUT0000000067753690,5,0,0,"LINESTRING(996671.3996258434 6543028.5001698835,996674.4002579309 6543025.700619343,996679.4000609005 6543020.399800337,996681.3996940677 6543018.800231767,996681.8001953525 6543016.000119398,996675.0000982804 6543015.4999657655,996672.0001476444 6543015.199822203)", POINT(996671.3996258434 6543028.5001698835), POINT(996672.0001476444 6543015.199822203)
TRONROUT0000000067753693,6,5,0,"LINESTRING(996664.5996325733 6543066.799986316,996668.6997060736 6543060.899588272,996670.5003202024 6543053.600112502,996671.3996638694 6543042.600150029,996671.299928051 6543033.000386447,996671.3996258434 6543028.5001698835)", POINT(996664.5996325733 6543066.799986316), POINT(996671.3996258434 6543028.5001698835)
TRONROUT0000000067753695,7,6,0,"LINESTRING(996618.7001893073 6543136.499915524,996621.0997963422 6543133.900209591,996627.9002549178 6543126.299679769,996636.0997646793 6543121.800069514,996643.8997789313 6543120.000569323,996651.3003011938 6543116.200444988,996658.5002203916 6543109.099635012,996662.4997628308 6543102.200396953,996661.499851496 6543095.800095756,996662.4997723872 6543087.299916443,996664.4002699868 6543075.400169146,996665.3002099787 6543069.199920233,996664.5996325733 6543066.799986316)", POINT(996618.7001893073 6543136.499915524), POINT(996664.5996325733 6543066.799986316)
TRONROUT0000000067753697,0,2,0,"LINESTRING(996672.0001476444 6543015.199822203,996665.4999952789 6543017.600496277,996650.6002892044 6543022.00060086,996640.7000286368 6543025.999621167,996635.4003061107 6543028.39965649,996631.0001957308 6543026.300497017)", POINT(996672.0001476444 6543015.199822203), POINT(996631.0001957308 6543026.300497017)
TRONROUT0000000067753699,8,5,0,"LINESTRING(996660.9997360329 6543044.600310491,996667.2999864414 6543033.399959061,996669.599949612 6543030.200614643,996671.3996258434 6543028.5001698835)", POINT(996660.9997360329 6543044.600310491), POINT(996671.3996258434 6543028.5001698835)
TRONROUT0000002492848414,6,8,0,"LINESTRING(996664.5996325733 6543066.799986316,996660.5002492608 6543070.400084875,996655.3001891114 6543079.700385192,996651.4996974209 6543084.800373381,996649.5001180028 6543085.200309796,996649.7002523339 6543081.700038008,996648.6997209114 6543074.800506921,996648.2001951234 6543071.199571218,996652.4999842152 6543061.199605329,996660.9997360329 6543044.600310491)", POINT(996664.5996325733 6543066.799986316), POINT(996660.9997360329 6543044.600310491)
TRONROUT0000002492848415,0,8,0,"LINESTRING(996672.0001476444 6543015.199822203,996672.4002214193 6543017.300548505,996665.1997774083 6543021.100357852,996660.0997652824 6543025.700331216,996659.299637504 6543029.300453709,996659.1003533527 6543031.600011718,996660.4000987391 6543035.499948839,996660.4000837564 6543041.00007322,996660.9997360329 6543044.600310491)", POINT(996672.0001476444 6543015.199822203), POINT(996660.9997360329 6543044.600310491)
